time_on,lux_on,time_off,lux_off
0.000,39.86,0.000,39.93
0.100,39.84,0.100,39.95
0.200,40.02,0.200,40.15
0.300,40.01,0.300,39.94
0.400,39.83,0.400,40.13
0.500,39.95,0.500,40.01
0.600,40.62,0.600,40.15
0.700,39.83,0.700,39.94
0.800,40.05,0.800,40.11
0.900,39.97,0.900,39.86
1.000,39.43,1.000,39.90
1.100,39.98,1.100,39.88
1.200,40.05,1.200,40.02
1.300,39.65,1.300,39.98
1.400,40.13,1.400,40.02
1.500,40.00,1.500,40.20
1.600,40.10,1.600,40.10
1.700,39.97,1.700,40.04
1.800,39.98,1.800,40.03
1.900,40.12,1.900,39.95
2.000,39.88,2.000,40.02
2.100,40.21,2.100,39.82
2.200,39.89,2.200,40.03
2.300,40.14,2.300,39.98
2.400,29.88,2.400,28.66
2.500,19.65,2.500,18.86
2.600,14.28,2.600,13.97
2.700,11.86,2.700,11.67
2.800,10.61,2.800,10.82
2.900,10.35,2.900,10.30
3.000,10.22,3.000,10.14
3.100,10.04,3.100,10.15
3.200,10.10,3.199,10.03
3.300,9.93,3.299,10.07
3.400,9.94,3.399,10.06
3.500,10.04,3.499,10.08
3.600,9.90,3.599,9.90
3.700,10.05,3.699,9.84
3.800,10.02,3.799,9.88
3.900,10.08,3.899,10.07
4.000,9.89,3.999,10.04
4.100,9.99,4.099,9.95
4.200,9.93,4.199,9.96
4.300,9.91,4.299,10.13
4.400,9.96,4.399,10.01
4.500,10.10,4.499,10.10
4.600,9.85,4.599,10.02
4.700,9.99,4.699,9.99
4.800,9.99,4.799,10.00
4.900,9.96,4.899,10.09
5.000,9.95,4.999,10.04
5.100,10.01,5.099,9.94
5.200,10.09,5.199,9.99
5.300,9.92,5.299,10.35
5.400,10.04,5.399,10.05
5.500,10.09,5.499,10.08
5.600,9.98,5.599,10.06
5.700,10.04,5.699,9.96
5.800,10.06,5.799,10.05
5.900,9.97,5.899,9.96
6.000,10.05,5.999,9.90
6.100,9.91,6.099,9.94
6.200,9.96,6.199,9.89
6.300,9.88,6.299,9.94
6.400,10.08,6.399,9.93
6.500,10.00,6.499,10.00
6.600,10.05,6.599,9.95
6.700,10.07,6.699,9.96
6.800,9.99,6.799,10.01
6.900,10.03,6.899,9.92
7.000,9.91,6.999,10.05
7.100,9.90,7.099,9.91
7.200,9.88,7.199,10.03
7.300,9.96,7.299,10.03
7.400,9.96,7.399,9.95
7.500,10.00,7.499,9.88
7.600,10.12,7.599,10.03
7.700,10.06,7.699,10.07
7.800,9.94,7.799,9.95
7.900,10.10,7.899,10.14
8.000,10.28,7.999,9.93
8.100,9.94,8.099,10.04
8.200,10.02,8.199,9.91
8.300,9.96,8.299,10.10
8.400,16.13,8.399,17.31
8.500,28.72,8.499,29.56
8.600,35.99,8.599,36.49
8.700,39.00,8.699,39.00
8.800,39.78,8.799,39.94
8.900,39.96,8.899,40.11
9.000,40.16,8.999,40.21
9.100,39.95,9.099,40.12
9.200,39.97,9.199,39.92
9.300,40.03,9.299,39.89
9.400,39.88,9.399,40.15
9.500,39.96,9.499,39.85
9.600,40.10,9.599,39.97
9.700,40.12,9.699,40.06
9.800,39.97,9.799,40.00
9.900,40.18,9.899,39.99
10.000,40.05,9.999,40.02
10.100,40.00,10.099,40.00
10.200,40.05,10.199,39.92
10.300,39.45,10.299,39.97
10.400,40.12,10.399,40.05
10.500,39.82,10.499,40.02
10.600,40.14,10.599,39.89
10.700,39.92,10.699,39.95
10.800,39.80,10.799,40.06
10.900,39.89,10.899,39.85
11.000,40.11,10.999,40.00
11.100,39.98,11.099,39.99
11.200,40.19,11.199,39.99
11.300,39.95,11.299,39.78
11.400,39.96,11.399,40.06
11.500,39.73,11.499,40.04
11.600,39.98,11.599,40.11
11.700,40.01,11.699,40.02
11.800,39.99,11.799,40.03
11.900,39.79,11.899,39.73
12.000,40.05,11.999,40.10
12.100,39.91,12.099,39.93
12.200,39.75,12.199,39.76
12.300,39.84,12.299,39.83
12.400,39.95,12.399,39.74
12.500,39.86,12.499,39.96
12.600,39.96,12.599,40.07
12.700,40.22,12.699,39.99
12.800,40.04,12.799,40.01
12.900,40.14,12.899,40.12
13.000,39.97,12.999,40.04
13.100,40.00,13.099,40.12
13.200,39.89,13.199,40.02
13.300,40.12,13.299,39.97
13.400,39.90,13.399,39.95
13.500,40.15,13.499,40.04
13.600,39.80,13.599,39.86
13.700,40.09,13.699,39.90
13.800,39.95,13.799,39.94
13.900,40.10,13.899,39.94
14.000,40.14,13.999,39.84
14.100,40.10,14.099,40.01
14.200,39.89,14.199,39.19
14.300,40.01,14.299,40.29
